CAS,MolecularWeight
18479-49-7,156.2652
18479-51-1,156.2652
141-25-3,156.2652
7158-25-0,198.3034
10599-70-9,138.1638
350-03-8,121.1366
551-08-6,188.2225
10519-33-2,154.2493
68083-57-8,182.3025
13360-65-1,136.1943
620-17-7,122.1644
106-35-4,114.1855
589-38-8,100.1589
544-12-7,100.1589
4440-65-7,98.1430
42436-07-7,218.2915
18436-37-8,170.2487
67633-97-0,118.197
34300-94-2,120.213
51755-83-0,134.240
136954-20-6,176.276
3209-13-0,138.1638
541-91-3,238.4088
1128-08-1,166.2600
113486-29-6,170.2487
556-82-1,86.1323
107-86-8,84.1164
1191-16-8,128.1690
5205-11-8,190.2384
68555-58-8,206.2378
1193-18-6,110.1537
5205-07-2,128.1690
3842-03-3,160.2539
19329-89-6,160.2108
27625-35-0,172.2646
2050-01-3,158.2380
2050-09-1,172.2646
590-86-3,86.1323
541-47-9,100.1158
765-70-8,112.1265
105-43-1,116.1583
53082-58-9,184.2753
624-51-1,144.2545
925-78-0,142.2386
14309-57-0,140.2227
589-98-0,130.2279
106-68-3,128.2120
1669-44-9,126.1962
4864-61-3,172.2646
122-97-4,136.1910
7306-12-9,190.2384
104-53-0,134.1751
501-52-0,150.1745
122-68-9,266.3343
103-58-2,206.2808
23267-57-4,208.2967
55418-52-5,192.2112
2057-49-0,197.2756
5471-51-2,164.2011
104-20-1,178.2277
53498-32-1,169.287
28664-35-9,128.1259
675-09-2,124.1372
67845-50-5,168.2759
18871-14-2,214.3013
13171-00-1,244.3719
501-92-8,134.1751
562-74-3,154.2493
4748-78-1,134.1751
2785-89-9,152.1904
123-19-3,114.1855
6728-31-0,112.1696
928-91-6,100.1589
58461-27-1,154.2493
498-16-8,154.2493
3658-77-3,128.1259
498-02-2,166.1739
39212-23-2,156.2221
591-12-8,98.0999
123-08-0,122.1213
96-48-0,86.0892
6379-73-3,164.2441
4621-04-9,142.2386
94087-83-9,134.240
100-09-4,152.1473
108-10-1,100.1589
26643-91-4,174.2390
137-00-8,143.207
1759-28-0,125.191
122-00-9,134.1751
2216-45-7,164.2011
54947-74-9,158.2380
646-07-1,116.1583
2344-70-9,150.2176
17488-65-2,148.2017
16587-71-6,168.2759
2040-10-0,204.3080
98-52-2,156.2652
32210-23-4,198.3019
546-79-2,154.2493
34413-35-9,134.1784
15323-35-0,244.3719
68140-48-7,258.3984
104-90-5,121.1796
23747-48-0,134.1784
109-49-9,98.1430
27593-23-3,166.2170
25524-95-2,168.2328
13679-86-2,154.2493
81925-81-7,126.1962
13679-70-4,126.176
620-02-0,110.1106
13708-12-8,144.1732
2277-20-5,140.2227
502-69-2,268.4778
3796-70-1,194.3132
689-67-8,194.3132
67674-46-8,186.2912
33704-61-9,206.3239
21145-77-7,258.3984
135-79-5,171.2383
79-70-9,206.3239
1604-28-0,124.1803
110-93-0,126.1962
91-62-3,143.1852
5949-05-3,154.2493
65442-31-1,185.2649
